ANTWERPEN|KINROOI|116209|5356
ANTWERPEN|KLUISBERGEN|91474|4306
ANTWERPEN|KNESSELARE|80691|3748
ANTWERPEN|KNOKKE-HEIST|90982|4440
ANTWERPEN|KOEKELARE|128082|5040
ANTWERPEN|KOKSIJDE|143817|5492
ANTWERPEN|KONTICH|15009|1216
ANTWERPEN|KORTEMARK|117847|4849
ANTWERPEN|KORTENAKEN|96343|3976
ANTWERPEN|KORTENBERG|46847|2419
ANTWERPEN|KORTESSEM|88695|3797
ANTWERPEN|KORTRIJK|99685|3888
ANTWERPEN|KRAAINEM|46801|2232
ANTWERPEN|KRUIBEKE|12756|1204
ANTWERPEN|KRUISHOUTEM|79955|3263
ANTWERPEN|KUURNE|98524|4220
ANTWERPEN|LAAKDAL|50052|2546
ANTWERPEN|LAARNE|49824|2455
ANTWERPEN|LANAKEN|104043|4667
ANTWERPEN|LANDEN|98014|3884
ANTWERPEN|LANGEMARK-POELKAPELLE|131342|5090
ANTWERPEN|LEBBEKE|40153|2519
ANTWERPEN|LEDE|54588|3210
ANTWERPEN|LEDEGEM|114601|4680
ANTWERPEN|LENDELEDE|101241|4307
ANTWERPEN|LENNIK|59525|3276
ANTWERPEN|LEOPOLDSBURG|67204|3479
ANTWERPEN|LEUVEN|64574|3107
ANTWERPEN|LICHTERVELDE|117071|4521
ANTWERPEN|LIEDEKERKE|59333|3018
ANTWERPEN|LIER|30062|2231
ANTWERPEN|LIERDE|84789|4008
ANTWERPEN|LILLE|34369|1952
ANTWERPEN|LINKEBEEK|58387|3350
ANTWERPEN|LINT|19034|1645
ANTWERPEN|LINTER|92231|3960
ANTWERPEN|LOCHRISTI|51874|2539
ANTWERPEN|LOKEREN|36867|2032
ANTWERPEN|LOMMEL|71309|4127
ANTWERPEN|LONDERZEEL|27593|1897
ANTWERPEN|LO-RENINGE|143561|5827
ANTWERPEN|LOVENDEGEM|68073|3372
ANTWERPEN|LUBBEEK|78227|3554
ANTWERPEN|LUMMEN|69803|3186
ANTWERPEN|MAARKEDAL|84911|3981
ANTWERPEN|MAASEIK|113134|5045
ANTWERPEN|MAASMECHELEN|103337|4329
ANTWERPEN|MACHELEN|42118|2149
ANTWERPEN|MALDEGEM|74230|3495
ANTWERPEN|MALLE|30474|1983
ANTWERPEN|MECHELEN|25334|1629
ANTWERPEN|MEERHOUT|52525|2792
ANTWERPEN|MEEUWEN-GRUITRODE|99655|4456
ANTWERPEN|MEISE|34285|2089
ANTWERPEN|MELLE|55248|2401
ANTWERPEN|MENEN|112151|4493
ANTWERPEN|MERCHTEM|39657|2489
ANTWERPEN|MERELBEKE|59520|2696
ANTWERPEN|MERKSPLAS|45541|2743
ANTWERPEN|MESEN|128771|5166
ANTWERPEN|MEULEBEKE|97093|4507
ANTWERPEN|MIDDELKERKE|130202|5033
ANTWERPEN|MOERBEKE|39096|2012
ANTWERPEN|MOL|55967|3407
ANTWERPEN|MOORSLEDE|120000|4887
ANTWERPEN|MORTSEL|8390|1529
ANTWERPEN|NAZARETH|69779|3213
ANTWERPEN|NEERPELT|94222|4310
ANTWERPEN|NEVELE|75818|3244
ANTWERPEN|NIEL|15850|1493
ANTWERPEN|NIEUWERKERKEN|88787|4326
ANTWERPEN|NIEUWPOORT|134886|5053
ANTWERPEN|NIJLEN|24529|1855
ANTWERPEN|NINOVE|72208|3608
ANTWERPEN|OLEN|35262|2055
ANTWERPEN|OOSTENDE|118373|4429
ANTWERPEN|OOSTERZELE|65752|2914
ANTWERPEN|OOSTKAMP|96565|3911
ANTWERPEN|OOSTROZEBEKE|94634|4138
ANTWERPEN|OPGLABBEEK|94784|4201
ANTWERPEN|OPWIJK|43810|2908
ANTWERPEN|OUDENAARDE|79499|3661
ANTWERPEN|OUDENBURG|114452|4400
ANTWERPEN|OUD-HEVERLEE|60353|2847
ANTWERPEN|OUD-TURNHOUT|47745|2562
ANTWERPEN|OVERIJSE|59944|2768
ANTWERPEN|OVERPELT|78631|4430
ANTWERPEN|PEER|80962|4357
ANTWERPEN|PEPINGEN|61971|3450
ANTWERPEN|PITTEM|95708|4576
ANTWERPEN|POPERINGE|141684|5653
ANTWERPEN|PUTTE|35174|2076
ANTWERPEN|PUURS|24369|1781
ANTWERPEN|RANST|14127|1632
ANTWERPEN|RAVELS|52977|2889
ANTWERPEN|RETIE|53942|2661
ANTWERPEN|RIEMST|106136|4407
ANTWERPEN|RIJKEVORSEL|35861|2368
ANTWERPEN|ROESELARE|123640|4856
ANTWERPEN|RONSE|91130|4236
ANTWERPEN|ROOSDAAL|63143|3396
ANTWERPEN|ROTSELAAR|70866|3120
ANTWERPEN|RUISELEDE|86438|4049
ANTWERPEN|RUMST|19408|1319
ANTWERPEN|SCHELLE|14377|1420
ANTWERPEN|SCHERPENHEUVEL-ZICHEM|66039|3775
ANTWERPEN|SCHILDE|16217|1690
ANTWERPEN|SCHOTEN|10970|1353
ANTWERPEN|SINT-AMANDS|30392|2324
ANTWERPEN|SINT-GENESIUS-RODE|65144|3330
ANTWERPEN|SINT-GILLIS-WAAS|26608|1777
ANTWERPEN|SINT-KATELIJNE-WAVER|28814|1743
ANTWERPEN|SINT-LAUREINS|69407|3341
ANTWERPEN|SINT-LIEVENS-HOUTEM|69637|3152
ANTWERPEN|SINT-MARTENS-LATEM|64563|2928
ANTWERPEN|SINT-NIKLAAS|24127|1416
ANTWERPEN|SINT-PIETERS-LEEUW|57121|3117
ANTWERPEN|SINT-TRUIDEN|94799|4356
ANTWERPEN|SPIERE-HELKIJN|109588|4714
ANTWERPEN|STABROEK|18733|1542
ANTWERPEN|STADEN|133346|5410
ANTWERPEN|STEENOKKERZEEL|43313|2212
ANTWERPEN|STEKENE|31559|1996
ANTWERPEN|TEMSE|24671|1538
ANTWERPEN|TERNAT|53434|2796
ANTWERPEN|TERVUREN|52824|2400
ANTWERPEN|TESSENDERLO|55975|3026
ANTWERPEN|TIELT|90923|4286
ANTWERPEN|TIELT-WINGE|87734|3607
ANTWERPEN|TIENEN|82555|3506
ANTWERPEN|TONGEREN|105446|4369
ANTWERPEN|TORHOUT|111367|4450
ANTWERPEN|TREMELO|43989|2809
ANTWERPEN|TURNHOUT|44010|2422
ANTWERPEN|VEURNE|143053|5341
ANTWERPEN|VILVOORDE|42132|2156
ANTWERPEN|VLETEREN|141970|5684
ANTWERPEN|VOEREN|124093|5562
ANTWERPEN|VORSELAAR|33865|2293
ANTWERPEN|VOSSELAAR|41170|2285
ANTWERPEN|WAARSCHOOT|63557|3357
ANTWERPEN|WAASMUNSTER|30098|1680
ANTWERPEN|WACHTEBEKE|43379|2300
ANTWERPEN|WAREGEM|86694|3713
ANTWERPEN|WELLEN|88361|4096
ANTWERPEN|WEMMEL|41227|2411
ANTWERPEN|WERVIK|116834|4620
ANTWERPEN|WESTERLO|43766|2744
ANTWERPEN|WETTEREN|53086|2741
ANTWERPEN|WEVELGEM|106664|4202
ANTWERPEN|WEZEMBEEK-OPPEM|47415|2127
ANTWERPEN|WICHELEN|50903|2968
ANTWERPEN|WIELSBEKE|91172|3837
ANTWERPEN|WIJNEGEM|10800|1357
ANTWERPEN|WILLEBROEK|20763|1677
ANTWERPEN|WINGENE|96502|4029
ANTWERPEN|WOMMELGEM|10853|1340
ANTWERPEN|WORTEGEM-PETEGEM|87323|3777
ANTWERPEN|WUUSTWEZEL|30902|1992
ANTWERPEN|ZANDHOVEN|20661|1602
ANTWERPEN|ZAVENTEM|43888|2128
ANTWERPEN|ZEDELGEM|103949|4175
ANTWERPEN|ZELE|36704|2023
ANTWERPEN|ZELZATE|47654|2422
ANTWERPEN|ZEMST|32274|1895
ANTWERPEN|ZINGEM|73413|3381
ANTWERPEN|ZOERSEL|26940|1724
ANTWERPEN|ZOMERGEM|82214|3679
ANTWERPEN|ZONHOVEN|77890|3604
ANTWERPEN|ZONNEBEKE|125528|4805
ANTWERPEN|ZOTTEGEM|75439|3565
ANTWERPEN|ZOUTLEEUW|95019|4085
ANTWERPEN|ZUIENKERKE|113323|4588
ANTWERPEN|ZULTE|83199|3565
ANTWERPEN|ZUTENDAAL|96057|4160
ANTWERPEN|ZWALM|74737|3783
ANTWERPEN|ZWEVEGEM|97664|3875
ANTWERPEN|ZWIJNDRECHT|8832|1078
ANZEGEM|ARDOOIE|28977|1980
ANZEGEM|ARENDONK|144684|5458
ANZEGEM|AS|181004|6412
ANZEGEM|ASSE|71763|3008
ANZEGEM|ASSENEDE|64190|3009
ANZEGEM|AVELGEM|9400|660
ANZEGEM|BAARLE-HERTOG|149056|6006
ANZEGEM|BALEN|146733|6000
ANZEGEM|BEERNEM|66071|2694
ANZEGEM|BEERSE|128135|4828
ANZEGEM|BEERSEL|89340|3402
ANZEGEM|BEGIJNENDIJK|132727|5045
ANZEGEM|BEKKEVOORT|137585|4927
ANZEGEM|BERINGEN|151635|5611
ANZEGEM|BERLAAR|118936|4950
ANZEGEM|BERLARE|59691|2945
ANZEGEM|BERTEM|104763|3975
ANZEGEM|BEVER|52834|2604
ANZEGEM|BEVEREN|79903|3331
ANZEGEM|BIERBEEK|115312|4409
ANZEGEM|BILZEN|181143|6415
ANZEGEM|BLANKENBERGE|86670|3654
ANZEGEM|BOCHOLT|196083|7336
ANZEGEM|BOECHOUT|102933|4295
ANZEGEM|BONHEIDEN|107253|4406
ANZEGEM|BOOM|88961|3813
ANZEGEM|BOORTMEERBEEK|106315|4283
ANZEGEM|BORGLOON|171880|6383
ANZEGEM|BORNEM|76837|3137
ANZEGEM|BORSBEEK|97987|3927
ANZEGEM|BOUTERSEM|120713|4413
ANZEGEM|BRAKEL|25883|1696
ANZEGEM|BRASSCHAAT|103882|4075
ANZEGEM|BRECHT|118942|4431
ANZEGEM|BREDENE|87509|3429
ANZEGEM|BREE|193343|7290
ANZEGEM|BRUGGE|77724|3304
ANZEGEM|BUGGENHOUT|74662|3669
ANZEGEM|DAMME|82477|3568
ANZEGEM|DE HAAN|87952|3714
ANZEGEM|DE PANNE|86080|4193
ANZEGEM|DE PINTE|28820|1442
ANZEGEM|DEERLIJK|13101|875
ANZEGEM|DEINZE|19767|1397
ANZEGEM|DENDERLEEUW|62999|2777
ANZEGEM|DENDERMONDE|66245|3005
ANZEGEM|DENTERGEM|20078|1336
ANZEGEM|DESSEL|147198|5679
ANZEGEM|DESTELBERGEN|43491|1911
ANZEGEM|DIEPENBEEK|174542|6169
ANZEGEM|DIEST|141723|5250
ANZEGEM|DIKSMUIDE|70724|3236
ANZEGEM|DILBEEK|78746|3108
ANZEGEM|DILSEN-STOKKEM|189750|6710
ANZEGEM|DROGENBOS|85987|3343
ANZEGEM|DUFFEL|105312|4168
ANZEGEM|EDEGEM|96037|3883
ANZEGEM|EEKLO|58331|2836
ANZEGEM|ERPE-MERE|53606|2368
ANZEGEM|ESSEN|128331|5376
ANZEGEM|EVERGEM|48618|2231
ANZEGEM|GALMAARDEN|43961|2981
ANZEGEM|GAVERE|21122|1384
ANZEGEM|GEEL|133858|5304
ANZEGEM|GEETBETS|152415|5679
ANZEGEM|GENK|176773|6235
ANZEGEM|GENT|38117|1967
ANZEGEM|GERAARDSBERGEN|35883|2437
ANZEGEM|GINGELOM|147379|5254
ANZEGEM|GISTEL|90243|3388
ANZEGEM|GLABBEEK|131224|5210
ANZEGEM|GOOIK|78456|3471
ANZEGEM|GRIMBERGEN|85146|3324
ANZEGEM|GROBBENDONK|118485|4540
ANZEGEM|HAACHT|106889|4612
ANZEGEM|HAALTERT|59998|2545
ANZEGEM|HALEN|145569|5229
ANZEGEM|HALLE|73942|3268
ANZEGEM|HAM|150548|5660
ANZEGEM|HAMME|71125|3064
